iter	Accuracy	Logloss
633	0.9623895941	0.08939931164
634	0.9624981901	0.08936824438
635	0.9624619914	0.08929527938
636	0.962437859	0.08927545351
637	0.9624137265	0.0892625999
638	0.9625464549	0.089218611
639	0.9625705874	0.08919664647
640	0.9625947198	0.08917268275
641	0.9626188523	0.08915266937
642	0.9626671171	0.08913181203
643	0.9627033158	0.08911242724
644	0.9626791834	0.08909652992
645	0.9627033158	0.08908008499
646	0.9627033158	0.08907267452
647	0.9627033158	0.08904913718
648	0.9626791834	0.089039068
649	0.9627395145	0.08902368404
650	0.9627998456	0.08900757431
651	0.962823978	0.08896722773
652	0.9628481104	0.08896593524
653	0.9628481104	0.0889509245
654	0.9628481104	0.08894948268
655	0.9628722429	0.08894037387
656	0.9628843091	0.08891424793
657	0.9628963753	0.08889233397
658	0.9628722429	0.08885893491
659	0.9628481104	0.08883628301
660	0.9628481104	0.08880923008
661	0.9628722429	0.0887782251
662	0.9628601766	0.08876321643
663	0.9629084415	0.08875200158
664	0.962932574	0.08873704576
665	0.9629446402	0.08873174036
666	0.9629084415	0.08870973312
667	0.9628722429	0.08869156383
668	0.9628481104	0.0886823889
669	0.9628843091	0.08867387314
670	0.9628843091	0.08867352509
671	0.9628843091	0.08867324234
672	0.9628843091	0.08867296814
673	0.9628843091	0.08866773521
674	0.9628843091	0.08865559205
675	0.9628843091	0.08864884772
676	0.9628601766	0.08863642495
677	0.9629084415	0.08859801069
678	0.9629084415	0.08856763704
679	0.9629084415	0.08856188798
680	0.9628843091	0.0885492699
681	0.9628481104	0.08852892636
682	0.9628360442	0.08850925969
683	0.9628481104	0.08849985325
684	0.9628722429	0.08848152296
685	0.962823978	0.0884673848
686	0.9628722429	0.08845440483
687	0.9628963753	0.08843162482
688	0.9628843091	0.08837352041
689	0.9629446402	0.08834901982
690	0.9629567064	0.08832528055
691	0.9628963753	0.0883111208
692	0.9629205077	0.08829745277
693	0.9629446402	0.08826873999
694	0.9630411699	0.08824779186
695	0.9630653024	0.08823052252
696	0.9630653024	0.08819305381
697	0.9630291037	0.08817769512
698	0.9630894348	0.08816900979
699	0.9630773686	0.08815193575
700	0.9630894348	0.0881413312
701	0.9631135673	0.08812873677
702	0.9631256335	0.08810931244
703	0.9631376997	0.08808119276
704	0.9631256335	0.08805371404
705	0.9631376997	0.0880413571
706	0.9631256335	0.08802900242
707	0.9630653024	0.08801288491
708	0.9630532362	0.08797730035
709	0.9631135673	0.08796533127
710	0.9631135673	0.08793837142
711	0.9630653024	0.08788741551
712	0.9631497659	0.08786533504
713	0.9631135673	0.08784907417
714	0.9631738984	0.08783947784
715	0.9631376997	0.08782736196
716	0.9631738984	0.08781631556
717	0.9632462957	0.08778436077
718	0.9632462957	0.08774950732
719	0.9632462957	0.08773987987
720	0.9631980308	0.08773310085
721	0.9631980308	0.08772857661
722	0.9631738984	0.08770160948
723	0.9631618321	0.08769531686
724	0.9631376997	0.08767333216
725	0.9631376997	0.08767271379
726	0.9631497659	0.08765400574
727	0.9631376997	0.08764359697
728	0.9631376997	0.08763056606
729	0.9631256335	0.08762859861
730	0.9631497659	0.0876152805
731	0.9631497659	0.08760685084
732	0.9631738984	0.08758260202
733	0.9631980308	0.08756275478
734	0.9631135673	0.08750812306
735	0.9631738984	0.08749293458
736	0.9631618321	0.08748894219
737	0.9631376997	0.08746935739
738	0.9631738984	0.08746082066
739	0.9631618321	0.08744901137
740	0.9631738984	0.08743946736
741	0.9631738984	0.08743223904
742	0.9631859646	0.08741516552
743	0.9632221632	0.0874003174
744	0.9631618321	0.08738518043
745	0.9631618321	0.08738024577
746	0.9631859646	0.087353558
747	0.9631738984	0.08732314595
748	0.9632221632	0.08728444778
749	0.9632704281	0.08726075959
750	0.9632462957	0.08724988972
751	0.9632462957	0.08724203905
752	0.9633066268	0.08722716909
753	0.9632583619	0.08721351446
754	0.9633066268	0.08717090399
755	0.9633066268	0.0871571876
756	0.9633066268	0.08714893175
757	0.9633307592	0.0871393185
758	0.9633428254	0.08708810106
759	0.9633066268	0.08708499681
760	0.963318693	0.08706700711
761	0.963318693	0.08704671827
762	0.9633066268	0.08701144174
763	0.9633428254	0.0869711979
764	0.9633669579	0.08695758459
765	0.963318693	0.08693709182
766	0.9633066268	0.08692629019
767	0.9633428254	0.0869042946
768	0.9633790241	0.08688566965
769	0.9633669579	0.08686027413
770	0.9633548916	0.08684887259
771	0.9633428254	0.08681864605
772	0.9633548916	0.08680086244
773	0.9633428254	0.08678317483
774	0.9633428254	0.08677368524
775	0.9633428254	0.08675758046
776	0.9633548916	0.08674757006
777	0.9633548916	0.08674756678
778	0.9633669579	0.08672798832
779	0.963427289	0.08670507119
780	0.9634514214	0.08668852213
781	0.9634996863	0.08667156621
782	0.9635238187	0.08665207648
783	0.9635238187	0.08665068153
784	0.9635358849	0.08663071004
785	0.9635600174	0.08661116641
786	0.9635720836	0.08660156729
787	0.9635720836	0.08658824842
788	0.9634996863	0.08657584644
789	0.963427289	0.08656496791
790	0.9634634876	0.08655621972
791	0.9634393552	0.0865419998
